Frame,Lighting,Key Light Position,Lighting Ratio,Shadow Intensity,Color Temperature,Contrast Ratio,Glare Detection
0,Silhouette,Front Light,Key-to-Fill Ratio: 32.09:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
1,Silhouette,Front Light,Key-to-Fill Ratio: 31.8:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
2,Silhouette,Front Light,Key-to-Fill Ratio: 31.62:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
3,Silhouette,Front Light,Key-to-Fill Ratio: 31.56:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
4,Silhouette,Front Light,Key-to-Fill Ratio: 31.39:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
5,Silhouette,Front Light,Key-to-Fill Ratio: 31.36:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
6,Silhouette,Front Light,Key-to-Fill Ratio: 31.28:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
7,High-Key,Front Light,Key-to-Fill Ratio: 31.31:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
8,High-Key,Front Light,Key-to-Fill Ratio: 31.24:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
9,High-Key,Front Light,Key-to-Fill Ratio: 31.18:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
10,High-Key,Front Light,Key-to-Fill Ratio: 31.18:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
11,High-Key,Front Light,Key-to-Fill Ratio: 31.14:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
12,High-Key,Front Light,Key-to-Fill Ratio: 31.18:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
13,High-Key,Front Light,Key-to-Fill Ratio: 31.09:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
14,Silhouette,Front Light,Key-to-Fill Ratio: 31.16:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
15,Silhouette,Front Light,Key-to-Fill Ratio: 31.1:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
16,Silhouette,Front Light,Key-to-Fill Ratio: 31.1:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
17,Silhouette,Front Light,Key-to-Fill Ratio: 31.09:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
18,Silhouette,Front Light,Key-to-Fill Ratio: 31.16:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
19,Silhouette,Front Light,Key-to-Fill Ratio: 31.1:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
20,Silhouette,Front Light,Key-to-Fill Ratio: 31.01:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
21,Silhouette,Front Light,Key-to-Fill Ratio: 30.98:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
22,Silhouette,Front Light,Key-to-Fill Ratio: 30.94:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
23,Silhouette,Front Light,Key-to-Fill Ratio: 30.89:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
24,Silhouette,Front Light,Key-to-Fill Ratio: 30.87:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
25,Silhouette,Front Light,Key-to-Fill Ratio: 30.84:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
26,Silhouette,Front Light,Key-to-Fill Ratio: 30.84:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
27,Silhouette,Front Light,Key-to-Fill Ratio: 30.79:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
28,Silhouette,Front Light,Key-to-Fill Ratio: 30.72:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
29,Silhouette,Front Light,Key-to-Fill Ratio: 30.75:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
30,Silhouette,Front Light,Key-to-Fill Ratio: 30.7:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
31,High-Key,Front Light,Key-to-Fill Ratio: 30.66:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
32,Silhouette,Front Light,Key-to-Fill Ratio: 30.55:1,Hard Shadows,Warm Lighting,Contrast Ratio: 50:1,No Glare
33,Silhouette,Front Light,Key-to-Fill Ratio: 30.57:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
34,Silhouette,Front Light,Key-to-Fill Ratio: 30.51:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
35,Silhouette,Front Light,Key-to-Fill Ratio: 30.43:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
36,Silhouette,Front Light,Key-to-Fill Ratio: 30.56:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
37,Silhouette,Front Light,Key-to-Fill Ratio: 30.53:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
38,Silhouette,Front Light,Key-to-Fill Ratio: 30.55:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
39,Silhouette,Front Light,Key-to-Fill Ratio: 30.54:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
40,Silhouette,Front Light,Key-to-Fill Ratio: 30.55:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
41,Silhouette,Front Light,Key-to-Fill Ratio: 30.47:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
42,Silhouette,Front Light,Key-to-Fill Ratio: 30.5:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
43,Silhouette,Front Light,Key-to-Fill Ratio: 30.28:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
44,Silhouette,Front Light,Key-to-Fill Ratio: 30.2:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
45,Silhouette,Front Light,Key-to-Fill Ratio: 30.16:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
46,Silhouette,Front Light,Key-to-Fill Ratio: 30.11:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
47,Silhouette,Front Light,Key-to-Fill Ratio: 30.04:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
48,Silhouette,Front Light,Key-to-Fill Ratio: 29.98:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
49,Silhouette,Front Light,Key-to-Fill Ratio: 29.94:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
50,Silhouette,Front Light,Key-to-Fill Ratio: 29.86:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
51,Silhouette,Front Light,Key-to-Fill Ratio: 29.81:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
52,Silhouette,Front Light,Key-to-Fill Ratio: 29.76:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
53,Silhouette,Front Light,Key-to-Fill Ratio: 29.6:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
54,Silhouette,Front Light,Key-to-Fill Ratio: 29.53:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
55,Silhouette,Front Light,Key-to-Fill Ratio: 29.5:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
56,High-Key,Front Light,Key-to-Fill Ratio: 29.66:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
57,High-Key,Front Light,Key-to-Fill Ratio: 29.69:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
58,Silhouette,Front Light,Key-to-Fill Ratio: 29.74:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
59,Silhouette,Front Light,Key-to-Fill Ratio: 29.66:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
60,Silhouette,Front Light,Key-to-Fill Ratio: 29.72:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
61,Silhouette,Front Light,Key-to-Fill Ratio: 29.65:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
62,Silhouette,Front Light,Key-to-Fill Ratio: 29.6:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
63,Silhouette,Front Light,Key-to-Fill Ratio: 29.64:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
64,Silhouette,Front Light,Key-to-Fill Ratio: 29.64:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
65,Silhouette,Front Light,Key-to-Fill Ratio: 29.56:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
66,Silhouette,Front Light,Key-to-Fill Ratio: 29.56:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
67,Silhouette,Front Light,Key-to-Fill Ratio: 29.49:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
68,Silhouette,Front Light,Key-to-Fill Ratio: 29.52:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
69,High-Key,Front Light,Key-to-Fill Ratio: 29.44:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
70,Silhouette,Front Light,Key-to-Fill Ratio: 29.43:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
71,Silhouette,Front Light,Key-to-Fill Ratio: 29.4:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
72,Silhouette,Front Light,Key-to-Fill Ratio: 29.33:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
73,Silhouette,Front Light,Key-to-Fill Ratio: 29.24:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
74,Silhouette,Front Light,Key-to-Fill Ratio: 29.22:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
75,Silhouette,Front Light,Key-to-Fill Ratio: 29.14:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
76,Silhouette,Front Light,Key-to-Fill Ratio: 29.11:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
77,Silhouette,Front Light,Key-to-Fill Ratio: 29.04:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
78,Silhouette,Front Light,Key-to-Fill Ratio: 29.02:1,Hard Shadows,Cool Lighting,Contrast Ratio: 50:1,No Glare
