Frame,Angle,Level
0,Medium Shot,Eye Level
1,Medium Shot,Eye Level
2,Medium Shot,Eye Level
3,Medium Shot,Eye Level
4,Medium Shot,Eye Level
5,Medium Shot,Eye Level
6,Medium Shot,Eye Level
7,Medium Shot,Eye Level
8,Medium Shot,Eye Level
9,Medium Shot,Eye Level
10,Medium Shot,Eye Level
11,Medium Shot,Eye Level
12,Close-up,Eye Level
13,Close-up,Eye Level
14,Close-up,Eye Level
15,Close-up,Eye Level
16,Wide Shot,Eye Level
17,Over-the-Shoulder,Eye Level
18,Close-up,Eye Level
19,Low Angle,Eye Level
20,Low Angle,Eye Level
21,Low Angle,Eye Level
22,Low Angle,Eye Level
23,Low Angle,Eye Level
24,Low Angle,High Angle
25,Close-up,Worm's Eye View
26,Close-up,Eye Level
27,Close-up,Eye Level
28,Close-up,Eye Level
29,Close-up,Eye Level
30,Close-up,Worm's Eye View
31,Close-up,Worm's Eye View
32,Close-up,Worm's Eye View
33,Close-up,Worm's Eye View
34,Close-up,High Angle
35,Close-up,High Angle
36,Close-up,Eye Level
37,Close-up,Eye Level
38,Close-up,Eye Level
39,Medium Shot,Eye Level
40,Medium Shot,Eye Level
41,Medium Shot,Eye Level
42,Medium Shot,Eye Level
43,Medium Shot,Eye Level
44,Medium Shot,Eye Level
45,Medium Shot,Eye Level
46,Medium Shot,Eye Level
47,Medium Shot,Eye Level
48,Medium Shot,Eye Level
49,Medium Shot,Eye Level
50,Medium Shot,Eye Level
51,Medium Shot,Eye Level
52,Medium Shot,Eye Level
53,Medium Shot,Eye Level
54,Medium Shot,High Angle
55,Medium Shot,High Angle
56,Medium Shot,High Angle
57,Medium Shot,High Angle
58,Medium Shot,High Angle
59,Medium Shot,High Angle
60,Medium Shot,High Angle
61,Medium Shot,High Angle
62,Medium Shot,High Angle
63,Medium Shot,High Angle
64,Medium Shot,High Angle
65,Medium Shot,High Angle
66,Medium Shot,High Angle
67,Medium Shot,High Angle
68,Medium Shot,High Angle
69,Medium Shot,High Angle
70,Medium Shot,High Angle
71,Medium Shot,High Angle
72,Medium Shot,High Angle
73,Medium Shot,High Angle
74,Medium Shot,High Angle
75,Medium Shot,High Angle
76,Medium Shot,High Angle
77,Medium Shot,High Angle
78,Medium Shot,High Angle
79,Medium Shot,High Angle
80,Medium Shot,High Angle
81,Medium Shot,High Angle
82,Medium Shot,High Angle
83,Medium Shot,High Angle
84,Medium Shot,High Angle
85,Medium Shot,High Angle
86,Medium Shot,High Angle
87,Medium Shot,High Angle
88,Medium Shot,High Angle
89,Medium Shot,High Angle
90,Medium Shot,High Angle
91,Medium Shot,High Angle
92,Medium Shot,High Angle
93,Medium Shot,High Angle
94,Medium Shot,High Angle
95,Medium Shot,High Angle
96,Medium Shot,High Angle
97,Medium Shot,High Angle
98,Medium Shot,High Angle
99,Medium Shot,High Angle
100,Medium Shot,High Angle
101,Medium Shot,High Angle
102,Medium Shot,High Angle
103,Medium Shot,High Angle
104,Medium Shot,High Angle
105,Medium Shot,High Angle
106,Medium Shot,High Angle
107,Medium Shot,High Angle
108,Medium Shot,High Angle
109,Medium Shot,High Angle
110,Medium Shot,High Angle
111,Medium Shot,High Angle
112,Medium Shot,High Angle
113,Medium Shot,High Angle
114,Medium Shot,High Angle
115,Medium Shot,High Angle
116,Medium Shot,High Angle
117,Medium Shot,High Angle
118,Medium Shot,Worm's Eye View
119,Medium Shot,High Angle
120,Medium Shot,High Angle
121,Medium Shot,High Angle
122,Over-the-Shoulder,High Angle
123,Over-the-Shoulder,High Angle
124,Over-the-Shoulder,High Angle
125,Over-the-Shoulder,High Angle
126,Over-the-Shoulder,High Angle
127,Over-the-Shoulder,High Angle
128,Over-the-Shoulder,High Angle
129,Over-the-Shoulder,High Angle
130,Over-the-Shoulder,High Angle
131,Over-the-Shoulder,High Angle
132,Medium Shot,Eye Level
133,Medium Shot,Eye Level
134,Medium Shot,Eye Level
135,Medium Shot,Eye Level
136,Medium Shot,Eye Level
137,Medium Shot,Eye Level
138,Medium Shot,Eye Level
139,Medium Shot,Eye Level
140,Medium Shot,Eye Level
141,Medium Shot,Eye Level
142,Medium Shot,Eye Level
143,Medium Shot,Eye Level
144,Medium Shot,Eye Level
145,Medium Shot,Eye Level
146,Medium Shot,Eye Level
147,Medium Shot,Eye Level
148,Medium Shot,Eye Level
149,Medium Shot,Eye Level
150,Medium Shot,Eye Level
151,Medium Shot,High Angle
152,Medium Shot,High Angle
153,Close-up,High Angle
154,Medium Shot,High Angle
155,Medium Shot,High Angle
156,Medium Shot,High Angle
157,Medium Shot,High Angle
158,Medium Shot,High Angle
159,Medium Shot,High Angle
160,Over-the-Shoulder,High Angle
161,Medium Shot,High Angle
162,Over-the-Shoulder,High Angle
163,Over-the-Shoulder,High Angle
164,Over-the-Shoulder,High Angle
165,Over-the-Shoulder,Worm's Eye View
166,Over-the-Shoulder,Worm's Eye View
167,Medium Shot,Worm's Eye View
168,Close-up,Worm's Eye View
169,Close-up,High Angle
170,Over-the-Shoulder,High Angle
171,Medium Shot,Worm's Eye View
172,Close-up,Worm's Eye View
173,Close-up,Worm's Eye View
174,Medium Shot,Worm's Eye View
175,Medium Shot,Worm's Eye View
176,Medium Shot,Worm's Eye View
177,Medium Shot,Worm's Eye View
178,Medium Shot,Worm's Eye View
179,Close-up,Worm's Eye View
180,Close-up,Worm's Eye View
181,Close-up,Worm's Eye View
182,Close-up,Worm's Eye View
183,Close-up,Worm's Eye View
184,Close-up,Worm's Eye View
185,Close-up,Worm's Eye View
186,Close-up,Worm's Eye View
187,Close-up,Worm's Eye View
188,Close-up,Worm's Eye View
189,Close-up,Worm's Eye View
190,Close-up,Worm's Eye View
191,Close-up,High Angle
192,Close-up,High Angle
193,Close-up,Worm's Eye View
194,Close-up,High Angle
195,Close-up,High Angle
196,Close-up,Worm's Eye View
197,Close-up,Worm's Eye View
198,Close-up,High Angle
199,Close-up,High Angle
200,Close-up,High Angle
201,Close-up,High Angle
202,Close-up,High Angle
203,Close-up,High Angle
204,Close-up,High Angle
205,Close-up,High Angle
206,Close-up,Worm's Eye View
207,Close-up,High Angle
208,Close-up,High Angle
209,Close-up,High Angle
210,Close-up,High Angle
211,Close-up,High Angle
212,Close-up,High Angle
213,Close-up,High Angle
214,Close-up,High Angle
215,Close-up,High Angle
216,Close-up,High Angle
217,Close-up,High Angle
218,Close-up,High Angle
219,Close-up,High Angle
220,Close-up,High Angle
221,Close-up,High Angle
222,Close-up,High Angle
223,Close-up,High Angle
224,Close-up,High Angle
225,Close-up,High Angle
226,Close-up,High Angle
227,Close-up,High Angle
228,Close-up,High Angle
229,Close-up,High Angle
230,Close-up,High Angle
231,Close-up,High Angle
232,Close-up,High Angle
233,Close-up,High Angle
234,Close-up,High Angle
235,Close-up,High Angle
236,Close-up,High Angle
237,Close-up,High Angle
238,Close-up,High Angle
239,Close-up,High Angle
240,Close-up,High Angle
241,Close-up,High Angle
242,Close-up,High Angle
243,Close-up,High Angle
244,Close-up,High Angle
245,Close-up,High Angle
246,Close-up,High Angle
247,Close-up,High Angle
248,Close-up,High Angle
249,Close-up,High Angle
250,Close-up,High Angle
251,Close-up,High Angle
252,Close-up,High Angle
253,Close-up,High Angle
254,Close-up,High Angle
255,Close-up,Worm's Eye View
256,Close-up,Worm's Eye View
257,Close-up,Worm's Eye View
258,Close-up,Worm's Eye View
259,Close-up,Worm's Eye View
260,Close-up,Dutch Tilt
261,Close-up,Dutch Tilt
262,Medium Shot,Dutch Tilt
263,Medium Shot,Dutch Tilt
264,Medium Shot,Dutch Tilt
265,Close-up,Worm's Eye View
266,Close-up,Worm's Eye View
267,Close-up,Worm's Eye View
268,Close-up,Worm's Eye View
269,Close-up,Worm's Eye View
270,Close-up,Worm's Eye View
271,Close-up,Worm's Eye View
272,Close-up,Worm's Eye View
273,Close-up,Worm's Eye View
274,Close-up,Worm's Eye View
275,Close-up,Worm's Eye View
276,Close-up,Worm's Eye View
277,Close-up,Worm's Eye View
278,Close-up,Worm's Eye View
279,Close-up,Worm's Eye View
280,Close-up,Worm's Eye View
281,Close-up,Worm's Eye View
282,Close-up,Worm's Eye View
283,Close-up,Worm's Eye View
284,Close-up,Worm's Eye View
285,Close-up,Worm's Eye View
286,Close-up,Worm's Eye View
287,Close-up,Worm's Eye View
288,Close-up,Worm's Eye View
289,Close-up,Worm's Eye View
290,Close-up,Worm's Eye View
291,Close-up,Worm's Eye View
292,Close-up,Worm's Eye View
293,Close-up,Worm's Eye View
294,Close-up,Worm's Eye View
295,Close-up,Worm's Eye View
296,Close-up,Worm's Eye View
297,Close-up,Worm's Eye View
298,Close-up,Worm's Eye View
299,Close-up,Worm's Eye View
300,Close-up,Worm's Eye View
301,Close-up,Worm's Eye View
302,Close-up,Worm's Eye View
303,Close-up,Worm's Eye View
304,Close-up,Worm's Eye View
305,Close-up,Worm's Eye View
306,Close-up,Worm's Eye View
307,Close-up,Worm's Eye View
