Frame,Shot Scale
0,Long Shot (LS)
23,Close Shot (CS)
47,Close Shot (CS)
71,Close Shot (CS)
95,Close Shot (CS)
119,Close Shot (CS)
143,Long Shot (LS)
167,Long Shot (LS)
191,Close Shot (CS)
215,Close Shot (CS)
239,Medium Shot (MS)
263,Close Shot (CS)
287,Close Shot (CS)
311,Close Shot (CS)
335,Close Shot (CS)
359,Close Shot (CS)
383,Close Shot (CS)
407,Medium Shot (MS)
431,Close Shot (CS)
455,Close Shot (CS)
479,Medium Shot (MS)
503,Close Shot (CS)
527,Close Shot (CS)
551,Close Shot (CS)
575,Long Shot (LS)
599,Long Shot (LS)
623,Long Shot (LS)
647,Medium Shot (MS)
671,Medium Shot (MS)
695,Close Shot (CS)
719,Long Shot (LS)
743,Long Shot (LS)
767,Medium Shot (MS)
791,Close Shot (CS)
815,Close Shot (CS)
839,Close Shot (CS)
863,Medium Shot (MS)
887,Long Shot (LS)
911,Close Shot (CS)
935,Close Shot (CS)
959,Medium Shot (MS)
983,Medium Shot (MS)
1007,Medium Shot (MS)
1031,Medium Shot (MS)
1055,Close Shot (CS)
1079,Close Shot (CS)
1103,Close Shot (CS)
1127,Close Shot (CS)
1151,Close Shot (CS)
1175,Close Shot (CS)
1199,Close Shot (CS)
1222,Close Shot (CS)
1246,Close Shot (CS)
1270,Close Shot (CS)
1294,Close Shot (CS)
1318,Close Shot (CS)
1342,Close Shot (CS)
1366,Medium Shot (MS)
1390,Medium Shot (MS)
1414,Long Shot (LS)
1438,Long Shot (LS)
1462,Long Shot (LS)
1486,Medium Shot (MS)
1510,Close Shot (CS)
1534,Long Shot (LS)
1558,Medium Shot (MS)
1582,Medium Shot (MS)
1606,Medium Shot (MS)
1630,Medium Shot (MS)
1654,Medium Shot (MS)
1678,Medium Shot (MS)
1702,Medium Shot (MS)
1726,Medium Shot (MS)
1750,Medium Shot (MS)
1774,Medium Shot (MS)
1798,Long Shot (LS)
1822,Long Shot (LS)
1846,Long Shot (LS)
1870,Medium Shot (MS)
1894,Medium Shot (MS)
1918,Close Shot (CS)
1942,Close Shot (CS)
1966,Close Shot (CS)
1990,Close Shot (CS)
2014,Long Shot (LS)
2038,Long Shot (LS)
2062,Long Shot (LS)
2086,Long Shot (LS)
2110,Long Shot (LS)
2134,Long Shot (LS)
2158,Long Shot (LS)
2182,Medium Shot (MS)
2206,Medium Shot (MS)
2230,Close Shot (CS)
2254,Close Shot (CS)
2278,Close Shot (CS)
2302,Close Shot (CS)
2326,Close Shot (CS)
2350,Medium Shot (MS)
2374,Medium Shot (MS)
2398,Medium Shot (MS)
2421,Close Shot (CS)
2445,Close Shot (CS)
2469,Close Shot (CS)
2493,Close Shot (CS)
2517,Long Shot (LS)
2541,Long Shot (LS)
2565,Long Shot (LS)
2589,Long Shot (LS)
2613,Long Shot (LS)
2637,Long Shot (LS)
2661,Long Shot (LS)
2685,Long Shot (LS)
2709,Long Shot (LS)
2733,Long Shot (LS)
2757,Medium Shot (MS)
2781,Long Shot (LS)
2805,Close Shot (CS)
2829,Close Shot (CS)
2853,Close Shot (CS)
2877,Close Shot (CS)
2901,Close Shot (CS)
2925,Close Shot (CS)
2949,Close Shot (CS)
2973,Close Shot (CS)
2997,Close Shot (CS)
3021,Close Shot (CS)
3045,Close Shot (CS)
3069,Close Shot (CS)
3093,Close Shot (CS)
3117,Close Shot (CS)
3141,Medium Shot (MS)
